2.1 Rectangular Column ปริมาณเสาเหลี่ยม,,,,,,,,,,
Base Level,Type,Count,Radius,Width,Depth,Length,Perimeter,Formwork,Area Column,Volume New,Family
,,,,,,,,,,,
Level 1,C08 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C09 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C10 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C11 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C12 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C13 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C14 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C15 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C16 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C17 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C18 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C19 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C20 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C21 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C22 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C23 - 300x1200 mm. (F-3),1,,1200.000,300.000,3.10 m,3000.000,9.30 m²,0.360 m²,1.116 m³,Rectangular Column
Level 1,C24 - 250x3500 mm. (F-3),1,,3500.000,250.000,3.10 m,7500.000,23.25 m²,0.875 m²,2.713 m³,Rectangular Column
Level 1,C25 - 200x500 mm. (1-2),2,,500.000,200.000,3.10 m,1400.000,8.68 m²,0.200 m²,0.620 m³,Rectangular Column
Level 1,C27 - 200x200 mm. (1-3),1,,200.000,200.000,3.10 m,800.000,2.48 m²,0.040 m²,0.124 m³,Rectangular Column
Level 1,CX1 - 200x200 mm. (1-3),2,,200.000,200.000,3.10 m,800.000,4.96 m²,0.080 m²,0.248 m³,Rectangular Column
Level 1: 29,,29,,,,,,253.08 m²,9.466 m²,29.345 m³,
Level 2,C01 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C02 - 300x1200 mm. (1-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C03 - 300x1200 mm. (F- 3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C04 - 300x1170 mm. (1-3),1,,1170.000,300.000,2.80 m,2940.000,8.23 m²,0.351 m²,0.983 m³,Rectangular Column
Level 2,C05 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C06 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C07 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
