3.1 Framing ปริมาณคาน by Level,,,,,,,,,,
Reference Level,Type,Count,B,H,Cut Length,Length,Formwork (H cut),Volume,Description,Structural Material,Lean + Sand
,,,,,,,,,,,
Level 4,B7 - 200x600 mm.,1,0.20 m,0.60 m,5.00 m,5.20 m,6.84 m²,0.56 m³,,Concrete Beam,0.17 m³
Level 4,B8 - 200x600 mm.,1,0.20 m,0.60 m,5.35 m,5.35 m,7.26 m²,0.62 m³,,Concrete Beam,0.17 m³
Level 4,BL1 - 250x450 mm.,3,0.25 m,0.45 m,2.97 m,2.97 m,3.41 m²,0.33 m³,,Concrete Beam,0.14 m³
Level 4,BL2C - 250x600 mm.,2,0.25 m,0.60 m,3.40 m,3.40 m,4.93 m²,0.51 m³,,Concrete Beam,0.14 m³
Level 4,BST2 - 500x250 mm.,1,0.50 m,0.25 m,2.90 m,3.10 m,2.17 m²,0.15 m³,,Concrete Beam,0.16 m³
Level 4,BX1 - 250x450 mm.,2,0.25 m,0.45 m,4.40 m,4.65 m,3.43 m²,0.27 m³,,Concrete Beam,0.18 m³
Level 4,BX1C - 250x450 mm.,4,0.25 m,0.45 m,4.13 m,4.38 m,3.34 m²,0.27 m³,,Concrete Beam,0.19 m³
Level 4,BX2 - 250x500 mm.,1,0.25 m,0.50 m,4.50 m,4.75 m,3.56 m²,0.28 m³,,Concrete Beam,0.17 m³
Level 4,BX2C - 250x500 mm.,2,0.25 m,0.50 m,1.30 m,1.30 m,1.18 m²,0.11 m³,,Concrete Beam,0.07 m³
Level 4: 20,,20,,,44.24 m,47.09 m,53.41 m²,4.37 m³,,,1.77 m³
Level 5,B4C - 200x600 mm.,1,0.20 m,0.60 m,1.30 m,1.30 m,1.82 m²,0.16 m³,,Concrete Beam,0.05 m³
Level 5,B5 - 200x600 mm.,1,0.20 m,0.60 m,7.05 m,8.25 m,11.55 m²,0.85 m³,,Concrete Beam,0.26 m³
Level 5,B6C - 200x850 mm.,1,0.20 m,0.85 m,1.95 m,2.45 m,3.92 m²,0.27 m³,,Concrete Beam,0.09 m³
Level 5,B7 - 200x600 mm.,1,0.20 m,0.60 m,5.00 m,5.20 m,6.84 m²,0.56 m³,,Concrete Beam,0.17 m³
Level 5,B8 - 200x600 mm.,1,0.20 m,0.60 m,5.35 m,5.35 m,7.26 m²,0.62 m³,,Concrete Beam,0.17 m³
Level 5,BL1 - 250x450 mm.,3,0.25 m,0.45 m,2.97 m,2.97 m,3.41 m²,0.33 m³,,Concrete Beam,0.14 m³
Level 5,BL2C - 250x600 mm.,2,0.25 m,0.60 m,3.40 m,3.40 m,4.93 m²,0.51 m³,,Concrete Beam,0.14 m³
Level 5,BST2 - 500x250 mm.,1,0.50 m,0.25 m,2.90 m,3.10 m,2.17 m²,0.15 m³,,Concrete Beam,0.16 m³
Level 5,BX1 - 250x450 mm.,2,0.25 m,0.45 m,4.40 m,4.65 m,3.43 m²,0.27 m³,,Concrete Beam,0.18 m³
Level 5,BX1C - 250x450 mm.,4,0.25 m,0.45 m,4.13 m,4.38 m,3.34 m²,0.27 m³,,Concrete Beam,0.19 m³
Level 5,BX2 - 250x500 mm.,1,0.25 m,0.50 m,4.50 m,4.75 m,3.56 m²,0.28 m³,,Concrete Beam,0.17 m³
Level 5,BX2C - 250x500 mm.,2,0.25 m,0.50 m,1.30 m,1.30 m,1.18 m²,0.11 m³,,Concrete Beam,0.07 m³
Level 5: 20,,20,,,44.24 m,47.09 m,53.41 m²,4.37 m³,,,1.77 m³
Level 6,B4C - 200x600 mm.,1,0.20 m,0.60 m,1.30 m,1.30 m,1.82 m²,0.16 m³,,Concrete Beam,0.05 m³
Level 6,B5 - 200x600 mm.,1,0.20 m,0.60 m,7.05 m,8.25 m,11.55 m²,0.85 m³,,Concrete Beam,0.26 m³
Level 6,B6C - 200x850 mm.,1,0.20 m,0.85 m,1.95 m,2.45 m,3.92 m²,0.27 m³,,Concrete Beam,0.09 m³
Level 6,B7 - 200x600 mm.,1,0.20 m,0.60 m,5.00 m,5.20 m,6.84 m²,0.56 m³,,Concrete Beam,0.17 m³
Level 6,B8 - 200x600 mm.,1,0.20 m,0.60 m,5.35 m,5.35 m,7.26 m²,0.62 m³,,Concrete Beam,0.17 m³
Level 6,BL1 - 250x450 mm.,3,0.25 m,0.45 m,2.97 m,2.97 m,3.41 m²,0.33 m³,,Concrete Beam,0.14 m³
Level 6,BL2C - 250x600 mm.,2,0.25 m,0.60 m,3.40 m,3.40 m,4.93 m²,0.51 m³,,Concrete Beam,0.14 m³
Level 6,BST2 - 500x250 mm.,1,0.50 m,0.25 m,2.90 m,3.10 m,2.17 m²,0.15 m³,,Concrete Beam,0.16 m³
Level 6,BX1 - 250x450 mm.,2,0.25 m,0.45 m,4.40 m,4.65 m,3.43 m²,0.27 m³,,Concrete Beam,0.18 m³
Level 6,BX1C - 250x450 mm.,4,0.25 m,0.45 m,4.13 m,4.38 m,3.34 m²,0.27 m³,,Concrete Beam,0.19 m³
Level 6,BX2 - 250x500 mm.,1,0.25 m,0.50 m,4.50 m,4.75 m,3.56 m²,0.28 m³,,Concrete Beam,0.17 m³
